,Credit limit (NT$),Sex,Education level,Marital status,Age (years),"Repayment status, September","Repayment status, August","Repayment status, July","Repayment status, June","Repayment status, May","Repayment status, April","Bill amount, September (NT$)","Bill amount, August (NT$)","Bill amount, July (NT$)","Bill amount, June (NT$)","Bill amount, May (NT$)","Bill amount, April (NT$)","Payment made, September (NT$)","Payment made, August (NT$)","Payment made, July (NT$)","Payment made, June (NT$)","Payment made, May (NT$)","Payment made, April (NT$)"
"Repayment status, April",-0.26354929796344595,-0.04455883271574454,0.12538268492240498,0.04241296160882329,-0.07572837386927182,0.4614711744541608,0.6359730524133325,0.6700670702557203,0.7305668730980986,0.8212061287427425,1.0,0.48678605448878004,0.520847021485474,0.560595620606366,0.6052281679466316,0.6669312152764063,0.629249725888715,0.1715320505006188,0.1989341888625572,0.231626023329292,0.2819670646748122,0.14140183058389436,0.19714646772423916
"Bill amount, September (NT$)",0.05159275344979412,-0.03963916904216974,0.09854576636857298,1.947804220493889e-05,0.0018271822231188978,0.30615792682113957,0.570453671414528,0.520716762617904,0.5094308411608038,0.4968227982321593,0.48678605448878004,1.0,0.9098134047752174,0.8567833449785146,0.8057792343006068,0.7657607771827742,0.7316655039664671,0.4998969954435906,0.47309837908809704,0.4379213397818533,0.43816369957134627,0.42359688991109246,0.41092008007900427
"Bill amount, August (NT$)",0.0466567441748089,-0.03817017605913683,0.09547974782059697,0.003700574133245608,0.002564052484027695,0.3222170840075501,0.5495666667771825,0.5847960131956454,0.5540492408782992,0.53459442431751,0.520847021485474,0.9098134047752174,1.0,0.9071591701007757,0.8471566547051822,0.8004731382908349,0.7626793444363322,0.6338526406348771,0.49825258109827336,0.46550928771292605,0.45751378593810543,0.446218596170056,0.4294893463807544
"Bill amount, July (NT$)",0.05927806372782158,-0.029867103796749925,0.08341565094068364,0.000248992686709626,0.002065358171497571,0.30674976050468816,0.5180838829613966,0.5542730607992042,0.616614909617948,0.5851727815405866,0.560595620606366,0.8567833449785146,0.9071591701007757,1.0,0.9033978525254899,0.8481965773610144,0.8028149221605483,0.5463418122351799,0.6385133063821331,0.48988664859917436,0.4880752866160283,0.47514788033956945,0.460195331171717
"Bill amount, June (NT$)",0.07141522107546791,-0.023129777910657106,0.07210031156679038,0.002768896624171732,-0.004339929673938038,0.3003628719344801,0.496099864838549,0.5275466444235706,0.5897149025466624,0.647227093857491,0.6052281679466316,0.8057792343006068,0.8471566547051822,0.9033978525254899,1.0,0.9027184141090804,0.8467603414579483,0.509533748868547,0.5579188653810583,0.63221332412373,0.5067460185402375,0.5034472034916078,0.4844247372599575
"Bill amount, May (NT$)",0.0784319469548463,-0.015257716409605878,0.062226180418022775,9.846886960725176e-05,-0.0009165213616385434,0.2923808027621241,0.4761460773310461,0.5023785673519163,0.5588014278199381,0.6165302403131169,0.6669312152764063,0.7657607771827742,0.8004731382908349,0.8481965773610144,0.9027184141090804,1.0,0.9008974292959736,0.4789814528344295,0.518386746446679,0.5476609822417321,0.6465726514117586,0.5238409516634626,0.5100281272447347
"Bill amount, April (NT$)",0.08462367872302963,-0.011374338039616586,0.05789205815730074,-0.0017438260436162228,1.4535088894866995e-05,0.28366539430510096,0.4585840288221856,0.4801195956877221,0.5303540389049689,0.5778699405371047,0.629249725888715,0.7316655039664671,0.7626793444363322,0.8028149221605483,0.8467603414579483,0.9008974292959736,1.0,0.45134414450369265,0.48784764555435106,0.5158200024480323,0.5672782062404064,0.6658447787698916,0.5302110114818084
"Payment made, September (NT$)",0.27289935074238536,-6.850649882802728e-05,-0.04140351194307663,-0.005416024965418736,0.03530339665567419,-0.10727147570763358,0.01586083372660194,0.2117428678584573,0.17960170246590274,0.16844132409140927,0.1715320505006188,0.4998969954435906,0.6338526406348771,0.5463418122351799,0.509533748868547,0.4789814528344295,0.45134414450369265,1.0,0.5112607005136072,0.5165386276953564,0.48291452464252926,0.46564188491939446,0.4541199938804647
"Payment made, August (NT$)",0.2811215013295973,0.01157932805693623,-0.04587088860792512,-0.019351518845104245,0.044145129726828804,-0.0678754096740837,0.08477607897966313,0.0347607803303118,0.2459683877120716,0.2205928913160859,0.1989341888625572,0.47309837908809704,0.49825258109827336,0.6385133063821331,0.5579188653810583,0.518386746446679,0.48784764555435106,0.5112607005136072,1.0,0.5192937769423418,0.5237917105332697,0.498584636386285,0.4929890480026036
"Payment made, July (NT$)",0.2833871103320037,0.02080890401308242,-0.03942277679114344,-0.015007215353153044,0.03440353097437335,-0.05796687017409166,0.08551685697789842,0.09880344402675588,0.06359671382907466,0.25330203427582076,0.231626023329292,0.4379213397818533,0.46550928771292605,0.48988664859917436,0.63221332412373,0.5476609822417321,0.5158200024480323,0.5165386276953564,0.5192937769423418,1.0,0.5159301977642594,0.5336240330521668,0.5068925918306167
"Payment made, June (NT$)",0.2802377728227264,0.015816879704559746,-0.04048898001416688,-0.019631847690343037,0.040790157051322225,-0.04007717832861923,0.09374488425680676,0.11498543918735855,0.14345046184456933,0.1048816251617304,0.2819670646748122,0.43816369957134627,0.45751378593810543,0.4880752866160283,0.5067460185402375,0.6465726514117586,0.5672782062404064,0.48291452464252926,0.5237917105332697,0.5159301977642594,1.0,0.5322547320403774,0.5433652469465252
"Payment made, May (NT$)",0.2905795803235735,0.017096881224005125,-0.04570647966900407,-0.018606871258242515,0.04080112726037789,-0.03089327427260348,0.0984870048724041,0.12108330902976994,0.16001313087346392,0.18421599082561552,0.14140183058389436,0.42359688991109246,0.446218596170056,0.47514788033956945,0.5034472034916078,0.5238409516634626,0.6658447787698916,0.46564188491939446,0.498584636386285,0.5336240330521668,0.5322547320403774,1.0,0.5478622591359882
"Payment made, April (NT$)",0.31476790000794097,0.0349404624295413,-0.048796328732977394,-0.01862487243898364,0.038903582974672175,-0.04868761415710776,0.08074411610539711,0.09418107637833165,0.141682577416279,0.1711034912396878,0.19714646772423916,0.41092008007900427,0.4294893463807544,0.460195331171717,0.4844247372599575,0.5100281272447347,0.5302110114818084,0.4541199938804647,0.4929890480026036,0.5068925918306167,0.5433652469465252,0.5478622591359882,1.0
