stage,model,scope,metric
11,rf,nested OOF development,brier
11,rf,nested OOF development,intercept
11,rf,nested OOF development,log_loss
11,rf,nested OOF development,slope
11,xgb,nested OOF development,brier
11,xgb,nested OOF development,intercept
11,xgb,nested OOF development,log_loss
11,xgb,nested OOF development,slope
12,dt,nested OOF development,floor_attained
12,dt,nested OOF development,floor_value
12,dt,nested OOF development,fn
12,dt,nested OOF development,fp
12,dt,nested OOF development,precision
12,dt,nested OOF development,precision_at_050
12,dt,nested OOF development,predicted_positive
12,dt,nested OOF development,predicted_positive_at_050
12,dt,nested OOF development,recall
12,dt,nested OOF development,recall_at_050
12,dt,nested OOF development,selection_input_rows
12,dt,nested OOF development,threshold
12,dt,nested OOF development,tn
12,dt,nested OOF development,tp
12,lr,nested OOF development,floor_attained
12,lr,nested OOF development,floor_value
12,lr,nested OOF development,fn
12,lr,nested OOF development,fp
12,lr,nested OOF development,precision
12,lr,nested OOF development,precision_at_050
12,lr,nested OOF development,predicted_positive
12,lr,nested OOF development,predicted_positive_at_050
12,lr,nested OOF development,recall
12,lr,nested OOF development,recall_at_050
12,lr,nested OOF development,selection_input_rows
12,lr,nested OOF development,threshold
12,lr,nested OOF development,tn
12,lr,nested OOF development,tp
12,rf,nested OOF development,floor_attained
12,rf,nested OOF development,floor_value
12,rf,nested OOF development,fn
12,rf,nested OOF development,fp
12,rf,nested OOF development,precision
12,rf,nested OOF development,precision_at_050
12,rf,nested OOF development,predicted_positive
12,rf,nested OOF development,predicted_positive_at_050
12,rf,nested OOF development,recall
12,rf,nested OOF development,recall_at_050
12,rf,nested OOF development,selection_input_rows
12,rf,nested OOF development,threshold
12,rf,nested OOF development,tn
12,rf,nested OOF development,tp
12,xgb,nested OOF development,floor_attained
12,xgb,nested OOF development,floor_value
12,xgb,nested OOF development,fn
12,xgb,nested OOF development,fp
12,xgb,nested OOF development,precision
12,xgb,nested OOF development,precision_at_050
12,xgb,nested OOF development,predicted_positive
12,xgb,nested OOF development,predicted_positive_at_050
12,xgb,nested OOF development,recall
12,xgb,nested OOF development,recall_at_050
12,xgb,nested OOF development,selection_input_rows
12,xgb,nested OOF development,threshold
12,xgb,nested OOF development,tn
12,xgb,nested OOF development,tp
13,dt,locked holdout test,calibration_slope
13,dt,locked holdout test,fn
13,dt,locked holdout test,fp
13,dt,locked holdout test,pr_auc
13,dt,locked holdout test,pr_auc_ci_high
13,dt,locked holdout test,pr_auc_ci_low
13,dt,locked holdout test,precision
13,dt,locked holdout test,recall
13,dt,locked holdout test,roc_auc
13,dt,locked holdout test,threshold
13,dt,locked holdout test,tn
13,dt,locked holdout test,tp
13,lr,locked holdout test,calibration_slope
13,lr,locked holdout test,fn
13,lr,locked holdout test,fp
13,lr,locked holdout test,pr_auc
13,lr,locked holdout test,pr_auc_ci_high
13,lr,locked holdout test,pr_auc_ci_low
13,lr,locked holdout test,precision
13,lr,locked holdout test,recall
13,lr,locked holdout test,roc_auc
13,lr,locked holdout test,threshold
13,lr,locked holdout test,tn
13,lr,locked holdout test,tp
13,rf,locked holdout test,calibration_slope
13,rf,locked holdout test,fn
13,rf,locked holdout test,fp
13,rf,locked holdout test,pr_auc
13,rf,locked holdout test,pr_auc_ci_high
13,rf,locked holdout test,pr_auc_ci_low
13,rf,locked holdout test,precision
13,rf,locked holdout test,recall
13,rf,locked holdout test,roc_auc
13,rf,locked holdout test,threshold
13,rf,locked holdout test,tn
13,rf,locked holdout test,tp
13,xgb,locked holdout test,calibration_slope
13,xgb,locked holdout test,fn
13,xgb,locked holdout test,fp
13,xgb,locked holdout test,pr_auc
13,xgb,locked holdout test,pr_auc_ci_high
13,xgb,locked holdout test,pr_auc_ci_low
13,xgb,locked holdout test,precision
13,xgb,locked holdout test,recall
13,xgb,locked holdout test,roc_auc
13,xgb,locked holdout test,threshold
13,xgb,locked holdout test,tn
13,xgb,locked holdout test,tp
14,dt_vs_rf,paired outer folds,folds_agreeing_in_sign
14,dt_vs_rf,paired outer folds,mean_diff
14,dt_vs_rf,paired outer folds,n_folds
14,dt_vs_rf,paired outer folds,sd_diff
14,dt_vs_xgb,paired outer folds,folds_agreeing_in_sign
14,dt_vs_xgb,paired outer folds,mean_diff
14,dt_vs_xgb,paired outer folds,n_folds
14,dt_vs_xgb,paired outer folds,sd_diff
14,lr_vs_dt,paired outer folds,folds_agreeing_in_sign
14,lr_vs_dt,paired outer folds,mean_diff
14,lr_vs_dt,paired outer folds,n_folds
14,lr_vs_dt,paired outer folds,sd_diff
14,lr_vs_rf,paired outer folds,folds_agreeing_in_sign
14,lr_vs_rf,paired outer folds,mean_diff
14,lr_vs_rf,paired outer folds,n_folds
14,lr_vs_rf,paired outer folds,sd_diff
14,lr_vs_xgb,paired outer folds,folds_agreeing_in_sign
14,lr_vs_xgb,paired outer folds,mean_diff
14,lr_vs_xgb,paired outer folds,n_folds
14,lr_vs_xgb,paired outer folds,sd_diff
14,rf_vs_xgb,paired outer folds,folds_agreeing_in_sign
14,rf_vs_xgb,paired outer folds,mean_diff
14,rf_vs_xgb,paired outer folds,n_folds
14,rf_vs_xgb,paired outer folds,sd_diff
16,dt,cross-fitted development,permutation::age_group
16,dt,cross-fitted development,permutation::call_failure
16,dt,cross-fitted development,permutation::charge_amount
16,dt,cross-fitted development,permutation::complains
16,dt,cross-fitted development,permutation::distinct_called_numbers
16,dt,cross-fitted development,permutation::frequency_of_sms
16,dt,cross-fitted development,permutation::frequency_of_use
16,dt,cross-fitted development,permutation::seconds_of_use
16,dt,cross-fitted development,permutation::status
16,dt,cross-fitted development,permutation::subscription_length
16,dt,cross-fitted development,permutation::tariff_plan
16,dt,cross-fitted development fold 1,permutation::age_group
16,dt,cross-fitted development fold 1,permutation::call_failure
16,dt,cross-fitted development fold 1,permutation::charge_amount
16,dt,cross-fitted development fold 1,permutation::complains
16,dt,cross-fitted development fold 1,permutation::distinct_called_numbers
16,dt,cross-fitted development fold 1,permutation::frequency_of_sms
16,dt,cross-fitted development fold 1,permutation::frequency_of_use
16,dt,cross-fitted development fold 1,permutation::seconds_of_use
16,dt,cross-fitted development fold 1,permutation::status
16,dt,cross-fitted development fold 1,permutation::subscription_length
16,dt,cross-fitted development fold 1,permutation::tariff_plan
16,dt,cross-fitted development fold 2,permutation::age_group
16,dt,cross-fitted development fold 2,permutation::call_failure
16,dt,cross-fitted development fold 2,permutation::charge_amount
16,dt,cross-fitted development fold 2,permutation::complains
16,dt,cross-fitted development fold 2,permutation::distinct_called_numbers
16,dt,cross-fitted development fold 2,permutation::frequency_of_sms
16,dt,cross-fitted development fold 2,permutation::frequency_of_use
16,dt,cross-fitted development fold 2,permutation::seconds_of_use
16,dt,cross-fitted development fold 2,permutation::status
16,dt,cross-fitted development fold 2,permutation::subscription_length
16,dt,cross-fitted development fold 2,permutation::tariff_plan
16,dt,cross-fitted development fold 3,permutation::age_group
16,dt,cross-fitted development fold 3,permutation::call_failure
16,dt,cross-fitted development fold 3,permutation::charge_amount
16,dt,cross-fitted development fold 3,permutation::complains
16,dt,cross-fitted development fold 3,permutation::distinct_called_numbers
16,dt,cross-fitted development fold 3,permutation::frequency_of_sms
16,dt,cross-fitted development fold 3,permutation::frequency_of_use
16,dt,cross-fitted development fold 3,permutation::seconds_of_use
16,dt,cross-fitted development fold 3,permutation::status
16,dt,cross-fitted development fold 3,permutation::subscription_length
16,dt,cross-fitted development fold 3,permutation::tariff_plan
16,dt,cross-fitted development fold 4,permutation::age_group
16,dt,cross-fitted development fold 4,permutation::call_failure
16,dt,cross-fitted development fold 4,permutation::charge_amount
16,dt,cross-fitted development fold 4,permutation::complains
16,dt,cross-fitted development fold 4,permutation::distinct_called_numbers
16,dt,cross-fitted development fold 4,permutation::frequency_of_sms
16,dt,cross-fitted development fold 4,permutation::frequency_of_use
16,dt,cross-fitted development fold 4,permutation::seconds_of_use
16,dt,cross-fitted development fold 4,permutation::status
16,dt,cross-fitted development fold 4,permutation::subscription_length
16,dt,cross-fitted development fold 4,permutation::tariff_plan
16,dt,cross-fitted development fold 5,permutation::age_group
16,dt,cross-fitted development fold 5,permutation::call_failure
16,dt,cross-fitted development fold 5,permutation::charge_amount
16,dt,cross-fitted development fold 5,permutation::complains
16,dt,cross-fitted development fold 5,permutation::distinct_called_numbers
16,dt,cross-fitted development fold 5,permutation::frequency_of_sms
16,dt,cross-fitted development fold 5,permutation::frequency_of_use
16,dt,cross-fitted development fold 5,permutation::seconds_of_use
16,dt,cross-fitted development fold 5,permutation::status
16,dt,cross-fitted development fold 5,permutation::subscription_length
16,dt,cross-fitted development fold 5,permutation::tariff_plan
16,dt,final-refit development,shap::age_group
16,dt,final-refit development,shap::call_failure
16,dt,final-refit development,shap::charge_amount
16,dt,final-refit development,shap::complains
16,dt,final-refit development,shap::distinct_called_numbers
16,dt,final-refit development,shap::frequency_of_sms
16,dt,final-refit development,shap::frequency_of_use
16,dt,final-refit development,shap::seconds_of_use
16,dt,final-refit development,shap::status
16,dt,final-refit development,shap::subscription_length
16,dt,final-refit development,shap::tariff_plan
16,lr,cross-fitted development,permutation::age_group
16,lr,cross-fitted development,permutation::call_failure
16,lr,cross-fitted development,permutation::charge_amount
16,lr,cross-fitted development,permutation::complains
16,lr,cross-fitted development,permutation::distinct_called_numbers
16,lr,cross-fitted development,permutation::frequency_of_sms
16,lr,cross-fitted development,permutation::frequency_of_use
16,lr,cross-fitted development,permutation::mean_call_duration
16,lr,cross-fitted development,permutation::status
16,lr,cross-fitted development,permutation::subscription_length
16,lr,cross-fitted development,permutation::tariff_plan
16,lr,cross-fitted development fold 1,permutation::age_group
16,lr,cross-fitted development fold 1,permutation::call_failure
16,lr,cross-fitted development fold 1,permutation::charge_amount
16,lr,cross-fitted development fold 1,permutation::complains
16,lr,cross-fitted development fold 1,permutation::distinct_called_numbers
16,lr,cross-fitted development fold 1,permutation::frequency_of_sms
16,lr,cross-fitted development fold 1,permutation::frequency_of_use
16,lr,cross-fitted development fold 1,permutation::mean_call_duration
16,lr,cross-fitted development fold 1,permutation::status
16,lr,cross-fitted development fold 1,permutation::subscription_length
16,lr,cross-fitted development fold 1,permutation::tariff_plan
16,lr,cross-fitted development fold 2,permutation::age_group
16,lr,cross-fitted development fold 2,permutation::call_failure
16,lr,cross-fitted development fold 2,permutation::charge_amount
16,lr,cross-fitted development fold 2,permutation::complains
16,lr,cross-fitted development fold 2,permutation::distinct_called_numbers
16,lr,cross-fitted development fold 2,permutation::frequency_of_sms
16,lr,cross-fitted development fold 2,permutation::frequency_of_use
16,lr,cross-fitted development fold 2,permutation::mean_call_duration
16,lr,cross-fitted development fold 2,permutation::status
16,lr,cross-fitted development fold 2,permutation::subscription_length
16,lr,cross-fitted development fold 2,permutation::tariff_plan
16,lr,cross-fitted development fold 3,permutation::age_group
16,lr,cross-fitted development fold 3,permutation::call_failure
16,lr,cross-fitted development fold 3,permutation::charge_amount
16,lr,cross-fitted development fold 3,permutation::complains
16,lr,cross-fitted development fold 3,permutation::distinct_called_numbers
16,lr,cross-fitted development fold 3,permutation::frequency_of_sms
16,lr,cross-fitted development fold 3,permutation::frequency_of_use
16,lr,cross-fitted development fold 3,permutation::mean_call_duration
16,lr,cross-fitted development fold 3,permutation::status
16,lr,cross-fitted development fold 3,permutation::subscription_length
16,lr,cross-fitted development fold 3,permutation::tariff_plan
16,lr,cross-fitted development fold 4,permutation::age_group
16,lr,cross-fitted development fold 4,permutation::call_failure
16,lr,cross-fitted development fold 4,permutation::charge_amount
16,lr,cross-fitted development fold 4,permutation::complains
16,lr,cross-fitted development fold 4,permutation::distinct_called_numbers
16,lr,cross-fitted development fold 4,permutation::frequency_of_sms
16,lr,cross-fitted development fold 4,permutation::frequency_of_use
16,lr,cross-fitted development fold 4,permutation::mean_call_duration
16,lr,cross-fitted development fold 4,permutation::status
16,lr,cross-fitted development fold 4,permutation::subscription_length
16,lr,cross-fitted development fold 4,permutation::tariff_plan
16,lr,cross-fitted development fold 5,permutation::age_group
16,lr,cross-fitted development fold 5,permutation::call_failure
16,lr,cross-fitted development fold 5,permutation::charge_amount
16,lr,cross-fitted development fold 5,permutation::complains
16,lr,cross-fitted development fold 5,permutation::distinct_called_numbers
16,lr,cross-fitted development fold 5,permutation::frequency_of_sms
16,lr,cross-fitted development fold 5,permutation::frequency_of_use
16,lr,cross-fitted development fold 5,permutation::mean_call_duration
16,lr,cross-fitted development fold 5,permutation::status
16,lr,cross-fitted development fold 5,permutation::subscription_length
16,lr,cross-fitted development fold 5,permutation::tariff_plan
16,lr,final-refit development,shap::age_group
16,lr,final-refit development,shap::call_failure
16,lr,final-refit development,shap::charge_amount
16,lr,final-refit development,shap::complains
16,lr,final-refit development,shap::distinct_called_numbers
16,lr,final-refit development,shap::frequency_of_sms
16,lr,final-refit development,shap::frequency_of_use
16,lr,final-refit development,shap::mean_call_duration
16,lr,final-refit development,shap::status
16,lr,final-refit development,shap::subscription_length
16,lr,final-refit development,shap::tariff_plan
16,rf,cross-fitted development,permutation::age_group
16,rf,cross-fitted development,permutation::call_failure
16,rf,cross-fitted development,permutation::charge_amount
16,rf,cross-fitted development,permutation::complains
16,rf,cross-fitted development,permutation::distinct_called_numbers
16,rf,cross-fitted development,permutation::frequency_of_sms
16,rf,cross-fitted development,permutation::frequency_of_use
16,rf,cross-fitted development,permutation::seconds_of_use
16,rf,cross-fitted development,permutation::status
16,rf,cross-fitted development,permutation::subscription_length
16,rf,cross-fitted development,permutation::tariff_plan
16,rf,cross-fitted development fold 1,permutation::age_group
16,rf,cross-fitted development fold 1,permutation::call_failure
16,rf,cross-fitted development fold 1,permutation::charge_amount
16,rf,cross-fitted development fold 1,permutation::complains
16,rf,cross-fitted development fold 1,permutation::distinct_called_numbers
16,rf,cross-fitted development fold 1,permutation::frequency_of_sms
16,rf,cross-fitted development fold 1,permutation::frequency_of_use
16,rf,cross-fitted development fold 1,permutation::seconds_of_use
16,rf,cross-fitted development fold 1,permutation::status
16,rf,cross-fitted development fold 1,permutation::subscription_length
16,rf,cross-fitted development fold 1,permutation::tariff_plan
16,rf,cross-fitted development fold 2,permutation::age_group
16,rf,cross-fitted development fold 2,permutation::call_failure
16,rf,cross-fitted development fold 2,permutation::charge_amount
16,rf,cross-fitted development fold 2,permutation::complains
16,rf,cross-fitted development fold 2,permutation::distinct_called_numbers
16,rf,cross-fitted development fold 2,permutation::frequency_of_sms
16,rf,cross-fitted development fold 2,permutation::frequency_of_use
16,rf,cross-fitted development fold 2,permutation::seconds_of_use
16,rf,cross-fitted development fold 2,permutation::status
16,rf,cross-fitted development fold 2,permutation::subscription_length
16,rf,cross-fitted development fold 2,permutation::tariff_plan
16,rf,cross-fitted development fold 3,permutation::age_group
16,rf,cross-fitted development fold 3,permutation::call_failure
16,rf,cross-fitted development fold 3,permutation::charge_amount
16,rf,cross-fitted development fold 3,permutation::complains
16,rf,cross-fitted development fold 3,permutation::distinct_called_numbers
16,rf,cross-fitted development fold 3,permutation::frequency_of_sms
16,rf,cross-fitted development fold 3,permutation::frequency_of_use
16,rf,cross-fitted development fold 3,permutation::seconds_of_use
16,rf,cross-fitted development fold 3,permutation::status
16,rf,cross-fitted development fold 3,permutation::subscription_length
16,rf,cross-fitted development fold 3,permutation::tariff_plan
16,rf,cross-fitted development fold 4,permutation::age_group
16,rf,cross-fitted development fold 4,permutation::call_failure
16,rf,cross-fitted development fold 4,permutation::charge_amount
16,rf,cross-fitted development fold 4,permutation::complains
16,rf,cross-fitted development fold 4,permutation::distinct_called_numbers
16,rf,cross-fitted development fold 4,permutation::frequency_of_sms
16,rf,cross-fitted development fold 4,permutation::frequency_of_use
16,rf,cross-fitted development fold 4,permutation::seconds_of_use
16,rf,cross-fitted development fold 4,permutation::status
16,rf,cross-fitted development fold 4,permutation::subscription_length
16,rf,cross-fitted development fold 4,permutation::tariff_plan
16,rf,cross-fitted development fold 5,permutation::age_group
16,rf,cross-fitted development fold 5,permutation::call_failure
16,rf,cross-fitted development fold 5,permutation::charge_amount
16,rf,cross-fitted development fold 5,permutation::complains
16,rf,cross-fitted development fold 5,permutation::distinct_called_numbers
16,rf,cross-fitted development fold 5,permutation::frequency_of_sms
16,rf,cross-fitted development fold 5,permutation::frequency_of_use
16,rf,cross-fitted development fold 5,permutation::seconds_of_use
16,rf,cross-fitted development fold 5,permutation::status
16,rf,cross-fitted development fold 5,permutation::subscription_length
16,rf,cross-fitted development fold 5,permutation::tariff_plan
16,rf,final-refit development,shap::age_group
16,rf,final-refit development,shap::call_failure
16,rf,final-refit development,shap::charge_amount
16,rf,final-refit development,shap::complains
16,rf,final-refit development,shap::distinct_called_numbers
16,rf,final-refit development,shap::frequency_of_sms
16,rf,final-refit development,shap::frequency_of_use
16,rf,final-refit development,shap::seconds_of_use
16,rf,final-refit development,shap::status
16,rf,final-refit development,shap::subscription_length
16,rf,final-refit development,shap::tariff_plan
16,xgb,cross-fitted development,permutation::age_group
16,xgb,cross-fitted development,permutation::call_failure
16,xgb,cross-fitted development,permutation::charge_amount
16,xgb,cross-fitted development,permutation::complains
16,xgb,cross-fitted development,permutation::distinct_called_numbers
16,xgb,cross-fitted development,permutation::frequency_of_sms
16,xgb,cross-fitted development,permutation::frequency_of_use
16,xgb,cross-fitted development,permutation::seconds_of_use
16,xgb,cross-fitted development,permutation::status
16,xgb,cross-fitted development,permutation::subscription_length
16,xgb,cross-fitted development,permutation::tariff_plan
16,xgb,cross-fitted development fold 1,permutation::age_group
16,xgb,cross-fitted development fold 1,permutation::call_failure
16,xgb,cross-fitted development fold 1,permutation::charge_amount
16,xgb,cross-fitted development fold 1,permutation::complains
16,xgb,cross-fitted development fold 1,permutation::distinct_called_numbers
16,xgb,cross-fitted development fold 1,permutation::frequency_of_sms
16,xgb,cross-fitted development fold 1,permutation::frequency_of_use
16,xgb,cross-fitted development fold 1,permutation::seconds_of_use
16,xgb,cross-fitted development fold 1,permutation::status
16,xgb,cross-fitted development fold 1,permutation::subscription_length
16,xgb,cross-fitted development fold 1,permutation::tariff_plan
16,xgb,cross-fitted development fold 2,permutation::age_group
16,xgb,cross-fitted development fold 2,permutation::call_failure
16,xgb,cross-fitted development fold 2,permutation::charge_amount
16,xgb,cross-fitted development fold 2,permutation::complains
16,xgb,cross-fitted development fold 2,permutation::distinct_called_numbers
16,xgb,cross-fitted development fold 2,permutation::frequency_of_sms
16,xgb,cross-fitted development fold 2,permutation::frequency_of_use
16,xgb,cross-fitted development fold 2,permutation::seconds_of_use
16,xgb,cross-fitted development fold 2,permutation::status
16,xgb,cross-fitted development fold 2,permutation::subscription_length
16,xgb,cross-fitted development fold 2,permutation::tariff_plan
16,xgb,cross-fitted development fold 3,permutation::age_group
16,xgb,cross-fitted development fold 3,permutation::call_failure
16,xgb,cross-fitted development fold 3,permutation::charge_amount
16,xgb,cross-fitted development fold 3,permutation::complains
16,xgb,cross-fitted development fold 3,permutation::distinct_called_numbers
16,xgb,cross-fitted development fold 3,permutation::frequency_of_sms
16,xgb,cross-fitted development fold 3,permutation::frequency_of_use
16,xgb,cross-fitted development fold 3,permutation::seconds_of_use
16,xgb,cross-fitted development fold 3,permutation::status
16,xgb,cross-fitted development fold 3,permutation::subscription_length
16,xgb,cross-fitted development fold 3,permutation::tariff_plan
16,xgb,cross-fitted development fold 4,permutation::age_group
16,xgb,cross-fitted development fold 4,permutation::call_failure
16,xgb,cross-fitted development fold 4,permutation::charge_amount
16,xgb,cross-fitted development fold 4,permutation::complains
16,xgb,cross-fitted development fold 4,permutation::distinct_called_numbers
16,xgb,cross-fitted development fold 4,permutation::frequency_of_sms
16,xgb,cross-fitted development fold 4,permutation::frequency_of_use
16,xgb,cross-fitted development fold 4,permutation::seconds_of_use
16,xgb,cross-fitted development fold 4,permutation::status
16,xgb,cross-fitted development fold 4,permutation::subscription_length
16,xgb,cross-fitted development fold 4,permutation::tariff_plan
16,xgb,cross-fitted development fold 5,permutation::age_group
16,xgb,cross-fitted development fold 5,permutation::call_failure
16,xgb,cross-fitted development fold 5,permutation::charge_amount
16,xgb,cross-fitted development fold 5,permutation::complains
16,xgb,cross-fitted development fold 5,permutation::distinct_called_numbers
16,xgb,cross-fitted development fold 5,permutation::frequency_of_sms
16,xgb,cross-fitted development fold 5,permutation::frequency_of_use
16,xgb,cross-fitted development fold 5,permutation::seconds_of_use
16,xgb,cross-fitted development fold 5,permutation::status
16,xgb,cross-fitted development fold 5,permutation::subscription_length
16,xgb,cross-fitted development fold 5,permutation::tariff_plan
16,xgb,final-refit development,shap::age_group
16,xgb,final-refit development,shap::call_failure
16,xgb,final-refit development,shap::charge_amount
16,xgb,final-refit development,shap::complains
16,xgb,final-refit development,shap::distinct_called_numbers
16,xgb,final-refit development,shap::frequency_of_sms
16,xgb,final-refit development,shap::frequency_of_use
16,xgb,final-refit development,shap::seconds_of_use
16,xgb,final-refit development,shap::status
16,xgb,final-refit development,shap::subscription_length
16,xgb,final-refit development,shap::tariff_plan
