,Credit duration (months),Credit amount (DM),Age (years),Checking account status,Credit history,Savings,Employment duration,Instalment rate (% of income),Time at present residence,Most valuable property,Number of credits at this bank,Job quality,Three or more dependants,Telephone registered,Foreign worker,Purpose,Personal status and sex,Other debtors or guarantor,Other instalment plans,Housing
Number of credits at this bank,0.011881361262134106,0.007647539330431398,0.13846635484001024,0.09237797435475152,0.5088123145318765,-0.04562210273954403,0.1354697286842244,0.028428292585651556,0.05514554849339934,-0.006486689417420764,1.0,0.0019889061548778765,0.0732117971153641,0.044153272891936046,-0.03303021522938018,0.02972303589991437,0.05744085762792924,0.0011158189577665407,-0.030201635289957646,0.04197499524504481
Job quality,0.2567535701464029,0.29510480095283503,0.023012766963393265,0.04427394892227698,0.03137071015837117,0.011067564990672712,0.09267898766973008,0.11924760422359397,0.006817142998789645,0.29314950183184946,0.0019889061548778765,1.0,-0.09383992747548794,0.39792840751224123,-0.08344916054117262,-0.031188033997626152,0.005476375918258969,-0.06487798685563595,-0.028876311180711635,0.09324787940631361
Three or more dependants,-0.03419959457172656,0.04803288403476555,0.16958374114192246,-0.045918848614370955,-0.03372421636671425,0.015327366119487732,0.09081284053924482,-0.08012741274901207,0.043043081251302066,0.03757792469447733,0.0732117971153641,-0.09383992747548794,1.0,-0.01840240268046286,0.07228757641111333,-0.06342231376451245,0.1458135204881025,0.007504473175510337,-0.08183988419951173,0.1245413686293427
Telephone registered,0.1932461804681189,0.2603454111905887,0.16134820854608378,0.09023720645673622,0.06835729125808077,0.08793605957359399,0.05871669180797286,0.013586802052851654,0.06271259699165338,0.20246245659921755,0.044153272891936046,0.39792840751224123,-0.01840240268046286,1.0,-0.07994999505911138,0.006764725632874775,0.049038208276609555,-0.07012430418415172,-0.03929968556609868,0.07567651597026327
Foreign worker,-0.1725297851674029,-0.037650555239510344,0.0036900771186982474,-0.04586461774053221,0.01310557814019905,0.023585630694785573,-0.04297402650527406,-0.11477314400619998,-0.04518309118274994,-0.13611779571566623,-0.03303021522938018,-0.08344916054117262,0.07228757641111333,-0.07994999505911138,1.0,-0.12644467793905695,0.07632406583049844,0.16217617645635266,0.029658547321084576,-0.09587939087785348
Purpose,0.046189314813085816,-0.0794621415877913,-0.03245857237850569,0.029626187462874955,-0.06287878042047614,-0.029437873192977304,0.01617573946464693,0.11044180512525431,-0.060696656131636086,-0.01650066544319808,0.02972303589991437,-0.031188033997626152,-0.06342231376451245,0.006764725632874775,-0.12644467793905695,1.0,0.03234185444607142,-0.012074500768235817,-0.07925164161017322,0.011475574828617538
Personal status and sex,0.005496151254253259,-0.009583490922893699,0.09339565093860326,0.03412136881671549,0.04104157802266595,0.017977223933277692,0.1628261581596044,0.11044038949232975,-0.04465825409446092,-0.02772085398892212,0.05744085762792924,0.005476375918258969,0.1458135204881025,0.049038208276609555,0.07632406583049844,0.03234185444607142,1.0,0.06741951507989147,-0.028285914071157502,0.12694101559726315
Other debtors or guarantor,-0.030156826589579657,0.006099648941979268,-0.03350102652246171,-0.09310341923923547,-0.04688133717168121,-0.09768447443300661,-0.012271505837909435,-0.036125843997944974,-0.03261208760669231,-0.13283122523372515,0.0011158189577665407,-0.06487798685563595,0.007504473175510337,-0.07012430418415172,0.16217617645635266,-0.012074500768235817,0.06741951507989147,1.0,-0.05695309301210941,-0.04857281357656759
Other instalment plans,-0.08132238370001957,-0.055604963736057486,-0.02834404111798378,0.06581225022962203,0.19817786065835755,0.0029777583377271436,-0.008359045121878928,0.014490953297761908,0.027547912754131283,-0.1203867994109921,-0.030201635289957646,-0.028876311180711635,-0.08183988419951173,-0.03929968556609868,0.029658547321084576,-0.07925164161017322,-0.028285914071157502,-0.05695309301210941,1.0,-0.07980738652128287
Housing,0.15145218782761738,0.10523779674998476,0.33546826715720957,0.028980271375704098,0.07940384052832147,-0.0012205208712321508,0.12684652605882155,0.0907330522648335,0.024886413267679538,0.3271888944724985,0.04197499524504481,0.09324787940631361,0.1245413686293427,0.07567651597026327,-0.09587939087785348,0.011475574828617538,0.12694101559726315,-0.04857281357656759,-0.07980738652128287,1.0
